[INFO] [1775036831.309713452] [trajectory_metrics_node]: TrajectoryMetricsNode ready
  stage: ackermann
  camera_gps_topic: /environment/GPS/GPSSDT/odom
  ambulance_gps_topic: /environment/GPS/GPSSDTAMBULANCE/odom
  estimation_topic: /ackermann_kf/tracks
  target_track_id: 1
  output_dir: /home/isarlab/ros2_humble/metrics_output/esperimento_01/sine_right/esperimento_01_ackermann
  max_abs_pose_m: 500.0
  max_abs_estimate_m: 200.0
  max_abs_error_m: 200.0
  max_pose_step_m: 1.5
  max_pose_speed_mps: 8.0
  max_yaw_rate_rps: 1.5
[INFO] [1775036831.370047492] [trajectory_metrics_node]: GT inizializzata: first_gt_rel_cam = [99.693, 30.099]
[INFO] [1775036831.370519729] [trajectory_metrics_node]: Primo campione stima per target 1: [3.944, -0.817]
[WARN] [1775036848.579487886] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=8.654m, x=100.66857421875, y=21.49996337890625
[WARN] [1775036848.666858518] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=8.557m, x=100.687685546875, y=21.5999560546875
[WARN] [1775036848.769711526] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=8.459m, x=100.69802734375, y=21.69995849609375
[WARN] [1775036848.867360251] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=8.360m, x=100.69951171875, y=21.79996826171875
[WARN] [1775036848.967610441] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=8.260m, x=100.692119140625, y=21.89994873046875
[WARN] [1775036849.076948521] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=8.159m, x=100.6758984375, y=22.0000732421875
[WARN] [1775036849.182715131] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=8.056m, x=100.65105468750001, y=22.10000732421875
[WARN] [1775036849.270437215] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=7.953m, x=100.617783203125, y=22.1999169921875
[WARN] [1775036849.368614370] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=7.849m, x=100.576328125, y=22.29994140625
[WARN] [1775036849.485663039] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=7.744m, x=100.527099609375, y=22.3999560546875
[WARN] [1775036849.574815370] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=7.639m, x=100.470458984375, y=22.50008056640625
[WARN] [1775036849.677205436] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=7.533m, x=100.407041015625, y=22.6000927734375
[WARN] [1775036849.778895128] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=7.427m, x=100.337470703125, y=22.69993896484375
[WARN] [1775036849.868955532] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=7.322m, x=100.26210937500001, y=22.799963378906252
[WARN] [1775036849.984245220] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=7.216m, x=100.18171875, y=22.9000439453125
[WARN] [1775036850.062722846] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=7.111m, x=100.09708984375, y=23.0000634765625
[WARN] [1775036850.169993531] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=7.007m, x=100.00907226562501, y=23.09994140625
[WARN] [1775036850.283653596] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=6.904m, x=99.918203125, y=23.19993896484375
[WARN] [1775036850.371330319] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=6.801m, x=99.82537109375001, y=23.2999560546875
[WARN] [1775036850.478791558] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=6.700m, x=99.73138671875, y=23.4000244140625
[WARN] [1775036850.570227256] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=6.600m, x=99.63724609375001, y=23.49995849609375
[WARN] [1775036850.664771179] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=6.502m, x=99.543642578125, y=23.59991943359375
