[INFO] [1775036876.147712977] [trajectory_metrics_node]: TrajectoryMetricsNode ready
  stage: fusion
  camera_gps_topic: /environment/GPS/GPSSDT/odom
  ambulance_gps_topic: /environment/GPS/GPSSDTAMBULANCE/odom
  estimation_topic: /yolo/detections_xyz
  target_track_id: 1
  output_dir: /home/isarlab/ros2_humble/metrics_output/esperimento_01/accelerated_right/esperimento_01_fusion
  max_abs_pose_m: 500.0
  max_abs_estimate_m: 200.0
  max_abs_error_m: 200.0
  max_pose_step_m: 1.5
  max_pose_speed_mps: 8.0
  max_yaw_rate_rps: 1.5
[INFO] [1775036876.169495939] [trajectory_metrics_node]: GT inizializzata: first_gt_rel_cam = [100.680, 28.599]
[INFO] [1775036876.170344668] [trajectory_metrics_node]: Primo campione stima per target 1: [3.372, -0.817]
[WARN] [1775036890.435704272] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=7.49670295449632e-27, y=-5.316609648471509e+34
[WARN] [1775036890.541339249] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.886m, x=96.890029296875, y=10.099997558593751
[WARN] [1775036890.640957026] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.888m, x=96.88002929687501, y=10.099997558593751
[WARN] [1775036890.743944970] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.890m, x=96.87, y=10.099997558593751
[WARN] [1775036890.836131722] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=6.979841289395512e-27, y=-5.316609648471509e+34
[WARN] [1775036890.937894507] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.894m, x=96.85000000000001, y=10.099997558593751
[WARN] [1775036891.039220370] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.896m, x=96.84001953125001, y=10.099997558593751
[WARN] [1775036891.139495922] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.898m, x=96.830029296875, y=10.099997558593751
[WARN] [1775036891.248809284] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.900m, x=96.820029296875, y=10.099997558593751
[WARN] [1775036891.338658120] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.902m, x=96.8100390625, y=10.099997558593751
[WARN] [1775036891.440278094] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.904m, x=96.800029296875, y=10.099997558593751
[WARN] [1775036891.537001640] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.906m, x=96.790029296875, y=10.099997558593751
[WARN] [1775036891.638695024] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.908m, x=96.780029296875, y=10.099997558593751
